"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lee Sin","Jungle",47,"21.6%","7.8%","29.8%","53%","36%",142,123,249,3.2,"71.4%","23.8%","36%",77,-30,0,5.7,"15.9%",271,"13.6%","18.4%",0.61,0.36
"Lee Sin","Top",1,"0.5%","7.8%","29.8%","0%","100%",0,4,4,1,"100.0%","28.6%","0%",146,-148,6,8.8,"25.4%",471,"27.2%","23.2%",0.43,0.32
"Leona","Support",12,"5.5%","0.9%","6.4%","58%","75%",5,38,91,2.5,"61.9%","28.6%","25%",-138,42,9.8,1.2,"2.5%",103,"5.3%","9.0%",1.46,0.49
"Lillia","Jungle",1,"0.5%","0.0%","0.5%","100%","100%",6,1,5,11,"78.6%","33.3%","100%",737,385,2,6.8,"21.0%",509,"22.3%","21.8%",0.24,0.63
"Lissandra","Middle",6,"2.8%","3.2%","6.0%","50%","100%",18,15,40,3.9,"69.9%","22.4%","33%",141,-145,-1.2,8.3,"23.0%",447,"20.3%","21.4%",0.41,0.24
"Lucian","ADC",69,"31.7%","50.9%","82.6%","54%","41%",221,131,266,3.7,"65.7%","20.2%","26%",85,96,1,9.5,"31.4%",643,"29.3%","26.9%",0.4,0.4
"Lulu","Support",79,"36.2%","4.6%","40.8%","43%","67%",25,147,555,3.9,"78.6%","18.0%","16%",-139,-133,0.7,0.7,"2.1%",122,"6.8%","8.9%",1.16,0.36
"Lux","Support",23,"10.6%","0.9%","11.5%","65%","57%",24,54,171,3.6,"74.7%","26.7%","43%",75,-52,-4.2,0.8,"3.4%",311,"14.4%","10.1%",1.15,0.4
"Maokai","Jungle",47,"21.6%","47.2%","69.3%","60%","21%",73,101,313,3.8,"74.4%","21.9%","40%",22,-1,-0.8,5.1,"13.4%",520,"21.9%","16.8%",0.3,0.39
"Maokai","Top",1,"0.5%","47.2%","69.3%","0%","100%",1,5,3,0.8,"80.0%","25.0%","0%",-964,-767,-38,6,"23.6%",406,"24.0%","20.2%",0.48,0.05
"Nami","Support",69,"31.7%","0.5%","32.1%","55%","23%",36,100,573,6.1,"83.3%","15.2%","29%",-62,0,-1.3,0.4,"1.6%",166,"7.8%","9.1%",1.26,0.28
"Nautilus","Support",14,"6.4%","3.7%","10.1%","29%","86%",14,42,76,2.1,"66.2%","21.9%","36%",-25,157,8.2,1.2,"2.9%",136,"6.6%","9.2%",1.12,0.37
"Nidalee","Jungle",5,"2.3%","0.9%","3.2%","60%","100%",13,7,15,4,"60.9%","14.3%","60%",418,107,3.2,5.9,"16.6%",489,"19.9%","18.4%",0.14,0.62
"Nocturne","Jungle",2,"0.9%","0.0%","0.9%","50%","100%",7,3,7,4.7,"82.4%","21.4%","50%",288,23,0,6.1,"15.8%",313,"14.2%","19.2%",0.79,0.35
"Orianna","Middle",3,"1.4%","0.0%","1.4%","33%","100%",7,7,14,3,"65.6%","17.5%","33%",-109,-100,2.3,8.6,"24.6%",486,"22.9%","22.5%",0.14,0.07
"Ornn","Top",8,"3.7%","3.2%","6.9%","63%","88%",5,13,48,4.1,"55.2%","18.1%","25%",-80,-24,-8.1,7.4,"20.3%",350,"15.8%","18.8%",0.45,0.12
"Poppy","Jungle",2,"0.9%","0.9%","1.8%","0%","100%",0,7,12,1.7,"50.0%","19.4%","0%",-398,145,-4,4.9,"16.4%",179,"8.5%","14.3%",0.17,0.57
"Pyke","Support",1,"0.5%","0.9%","1.4%","0%","100%",0,3,2,0.7,"66.7%","20.0%","100%",-116,-334,10,1.3,"3.8%",84,"4.1%","9.6%",2.38,0.64
"Rakan","Support",23,"10.6%","5.0%","15.6%","43%","22%",13,57,154,2.9,"78.0%","21.0%","30%",-42,75,6.7,1.4,"3.3%",111,"6.3%","9.7%",1.94,0.55
