"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Rek'Sai","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",1,4,5,1.5,"66.7%","23.5%","100%",115,149,-1,6.5,"16.9%",273,"14.3%","20.8%",0.43,0.5
"Rell","Jungle",6,"2.9%","20.0%","54.1%","50%","33%",2,14,42,3.1,"74.6%","21.5%","0%",-109,81,8.8,5.5,"11.3%",204,"9.8%","15.6%",0.41,0.33
"Rell","Support",64,"31.2%","20.0%","54.1%","50%","25%",30,210,569,2.9,"74.0%","25.4%","31%",2,-1,0.1,1.1,"2.3%",127,"5.9%","8.9%",1.73,0.39
"Renata Glasc","Support",5,"2.4%","1.5%","3.9%","80%","80%",1,9,59,6.7,"74.1%","19.6%","20%",-50,66,1.4,1.3,"2.5%",154,"7.7%","9.6%",1.9,0.32
"Renekton","Top",101,"49.3%","29.8%","79.0%","55%","25%",201,242,417,2.6,"52.2%","22.0%","15%",145,70,4.7,8.8,"25.7%",443,"21.8%","22.7%",0.37,0.22
"Rumble","Jungle",1,"0.5%","11.7%","20.0%","0%","100%",0,1,2,2,"66.7%","8.3%","0%",155,342,12,8.3,"22.0%",299,"17.9%","22.2%",0.29,0.36
"Rumble","Top",16,"7.8%","11.7%","20.0%","44%","44%",47,48,97,3,"64.6%","22.7%","13%",133,232,6.8,7.7,"21.8%",676,"30.2%","21.2%",0.45,0.05
"Samira","ADC",5,"2.4%","2.4%","4.9%","60%","100%",21,15,18,2.6,"75.0%","24.2%","40%",128,-196,-6.8,9.6,"28.5%",397,"23.0%","26.1%",0.48,0.39
"Sejuani","Jungle",79,"38.5%","47.3%","86.3%","49%","22%",94,156,596,4.4,"77.4%","17.1%","37%",-32,13,0.6,5.4,"13.5%",263,"12.8%","16.5%",0.46,0.45
"Sejuani","Top",1,"0.5%","47.3%","86.3%","0%","0%",2,5,1,0.6,"60.0%","29.4%","0%",46,-19,7,6.8,"14.8%",421,"30.7%","19.7%",0.36,0.25
"Seraphine","Middle",1,"0.5%","1.0%","1.5%","100%","100%",3,1,6,9,"69.2%","11.1%","0%",-231,-142,-3,8,"20.3%",686,"27.8%","22.2%",0.54,0.21
"Sion","Jungle",3,"1.5%","4.4%","13.7%","67%","0%",1,8,19,2.5,"60.6%","32.0%","33%",-22,-129,-0.3,5.5,"15.1%",228,"9.8%","15.8%",0.38,0.34
"Sion","Top",16,"7.8%","4.4%","13.7%","50%","56%",18,33,86,3.2,"63.4%","20.6%","13%",-184,-36,-3.8,7.7,"21.7%",437,"20.2%","19.6%",0.44,0.17
"Sivir","ADC",1,"0.5%","0.5%","1.0%","100%","100%",5,1,10,15,"65.2%","9.1%","0%",-361,-328,-26,10.1,"30.5%",585,"27.9%","23.2%",0.48,0.48
"Skarner","Jungle",7,"3.4%","3.4%","6.8%","57%","100%",9,8,53,7.8,"75.6%","12.1%","14%",-86,64,3.1,5.3,"12.4%",177,"8.5%","16.8%",0.42,0.45
"Sylas","Middle",2,"1.0%","2.0%","2.9%","100%","100%",10,4,12,5.5,"56.4%","21.1%","0%",6,67,-5,8.4,"25.4%",547,"20.8%","23.3%",0.3,0.25
"Syndra","Middle",3,"1.5%","2.0%","3.4%","33%","100%",4,5,6,2,"76.9%","25.0%","33%",-74,-9,1.7,8.4,"22.4%",389,"24.4%","21.8%",0.41,0.29
