"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Samira","ADC",1,"1.9%","1.9%","3.8%","100%","100%",3,1,4,7,"58.3%","50.0%","-","-","-","-",8.7,"-",243,"10.9%","20.4%",0.8,0.34
"Sion","Top",1,"1.9%","0.0%","1.9%","0%","100%",1,3,5,2,"66.7%","17.6%","-","-","-","-",7.2,"-",373,"20.1%","16.9%",0.46,0.11
"Trundle","Jungle",1,"1.9%","1.9%","3.8%","100%","100%",3,3,11,4.7,"70.0%","25.0%","-","-","-","-",4.6,"-",211,"9.0%","17.6%",0.49,0.49
"Vayne","ADC",1,"1.9%","7.7%","9.6%","0%","100%",4,5,6,2,"76.9%","33.3%","-","-","-","-",10.4,"-",426,"20.7%","31.4%",0.46,0.43
"Viego","Jungle",1,"1.9%","1.9%","3.8%","0%","100%",0,4,5,1.3,"71.4%","22.2%","-","-","-","-",5.1,"-",328,"15.8%","18.7%",0.33,0.2
"Viktor","Middle",1,"1.9%","0.0%","1.9%","100%","100%",2,1,9,11,"78.6%","14.3%","-","-","-","-",8.5,"-",591,"27.9%","20.8%",0.56,0.11
"Ashe","-",0,"0%","5.8%","5.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Bel'Veth","-",0,"0%","1.9%","1.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","-",0,"0%","5.8%","5.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kindred","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","-",0,"0%","3.8%","3.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
